"class","counts","prop","sum_TP1","sum_TP2","sum_TP3","sum_TP4","name"
"0",2105,0.036947325926316,0.0901374439893625,0.0724391624221845,0.132407313184763,0.114157986399991,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"blue",384,0.0067400347533042,0.284531436214227,0.104748675207079,0.12180726569655,0.13551199707145,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"brown",676,0.0118652695136293,0.0156959890919121,0.0051448268765756,0.0685695871917506,0.0104163200106493,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"green",607,0.0106541695188949,0.00705695000286233,0.00406441323249473,0.0141362233302805,0.0456032924001908,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"invblue",65,0.00114089129938743,0.00552169908041072,0.014971446210835,0.0146874257996676,0.0157076774601484,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"invbrown",29,0.000509013041265161,0.00554772028248617,0.00648248186448526,0.00252705132118992,0.00656705159350838,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"invgreen",27,0.000473908693591701,0.00568823477369361,0.00632813705818799,0.00565618533971032,0.00218531953365059,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"invturquoise",373,0.00654696084110017,0.0228934535859819,0.00169779286926995,0.0247362708184933,0.0226851697782511,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"invyellow",654,0.0114791216892212,0.14678560090762,0.0534033029788548,0.0576896984498491,0.124796166261772,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"singlet",50420,0.88498060484791,0.346628432847084,0.393733600864331,0.43574675214545,0.432693267662817,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"turquoise",1373,0.0240991346778298,0.0507569567683749,0.274373617327777,0.0701299141820155,0.0644059147836312,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"yellow",260,0.00456356519754972,0.0187560824559851,0.0626125430879251,0.0519063125402802,0.0252698370439393,"NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"0",3379,0.0352265382289777,0.150273266435745,0.119079314639069,0.176334584744987,0.16916482896984,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"blue",433,0.00451408436020934,0.101671017466554,0.0343109889637995,0.039007416903214,0.0272669993865132,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"brown",2598,0.027084506161256,0.0368376343543814,0.00768669214583244,0.110696517412935,0.0104375652865978,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"green",2156,0.0224765955672317,0.0327299103592998,0.0157169236054451,0.0286527485273021,0.130913100429441,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"invblue",68,0.000708909322157586,0.00501731915735414,0.0105208914845193,0.0102936239050148,0.0119298303792011,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"invbrown",94,0.000979962886511958,0.0213842137723181,0.0254648516339589,0.0135518725391448,0.026454543947207,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"invgreen",81,0.000844436104334772,0.0142626072992587,0.0141280542792116,0.0136281781277661,0.00610999651804812,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"invturquoise",912,0.0095077250265841,0.0464087476290403,0.00352127796624726,0.0497970271342673,0.047827096217937,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"invyellow",1582,0.0164925668772544,0.0665168129647372,0.0149439601494396,0.0203735921618899,0.0723334051831341,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"singlet",82310,0.858093033923396,0.435376075901741,0.388628848713875,0.437246283917834,0.407645371491104,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"turquoise",2087,0.0217572611079836,0.0772108592862102,0.332374286082364,0.0725055703079693,0.0780454643431547,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"yellow",222,0.00231438043410271,0.0123115353733607,0.0336239103362391,0.0279125843176754,0.0118717978478221,"NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"0",2046,0.0131110982947882,0.0652178490955419,0.0395093109355142,0.0886132145011057,0.0772227653838177,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"blue",212,0.00135853022409341,0.0151620443489797,0.00342598220699563,0.00777323594451518,0.00260717565845999,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"brown",2957,0.0189489333615292,0.0354757378574423,0.00254185776648063,0.127739060510621,0.00573282374900009,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"green",1782,0.0114193436761059,0.0397773936216036,0.0248107421119523,0.034393218521745,0.138491393357627,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"invblue",21,0.00013457139012246,0.00131327808376264,0.00276288887660938,0.00286470548817262,0.00294788611382692,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"invbrown",19,0.000121755067253654,0.0207310326079674,0.024147648781566,0.0165516317094418,0.0240423073504577,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"invgreen",38,0.000243510134507309,0.0221744898603828,0.0215505332375532,0.0204550023453729,0.0128433028175273,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"invturquoise",492,0.0031528154257262,0.0264474296314589,0.00127092888324032,0.0296857200294847,0.0281308328148609,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"invyellow",474,0.00303746851990695,0.0212038892941035,0.00386804442725314,0.00631575420491858,0.0254495896661038,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"singlet",146399,0.938148425835144,0.694040665675008,0.592363375145052,0.595481806607251,0.631958640713418,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"turquoise",1469,0.00941358914713779,0.0506952141925924,0.259766812178814,0.0510537425450647,0.0443071726957604,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"yellow",142,0.000909958923685205,0.00776097573115704,0.0239818754489694,0.0190729075923072,0.00626610967913963,"NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"0",2333,0.0191825424885505,0.0963077368415039,0.0700064820816742,0.138439662697877,0.127881227981882,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"blue",316,0.00259823550209257,0.0231099718528732,0.00300953792017779,0.0090715192094819,0.00172789800369066,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"brown",3650,0.0300112645020186,0.0523178530483834,0.00555607000648208,0.169461018566016,0.00939439691326959,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"green",2323,0.0191003198460792,0.0354809959283791,0.0142142790999167,0.0405608502749354,0.201778225130012,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"invblue",62,0.000509780383321959,0.00465817809247036,0.0113436429299009,0.0107634295382345,0.0129843985908405,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"invbrown",40,0.000328890569885135,0.00353838712011853,0.00495416242244652,0.00104394467093244,0.00560308673041436,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"invgreen",60,0.000493335854827702,0.008510792271157,0.00842670617649782,0.00773958980174051,0.00142593524576413,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"invturquoise",499,0.00410290985931706,0.0288060514418261,0.00101861283452172,0.0341711889269869,0.0337023989263546,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"invyellow",496,0.00407824306657567,0.020942757351961,0.000787109917584962,0.0041577796376792,0.0263043113571548,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"singlet",109842,0.903149949433075,0.668553298622352,0.490971386239467,0.506097176849627,0.528854219090757,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"turquoise",1771,0.0145616299816644,0.0473606831486694,0.351652930826928,0.0474904830044008,0.041234692165744,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"yellow",229,0.0018828985125924,0.0104132942803058,0.0380590795444023,0.0310033568220884,0.00910920986411676,"NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"0",1745,0.00870363258201116,0.0484110652662377,0.00605710989327949,0.0796307240459177,0.0571363986915938,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"blue",177,0.000882832645854427,0.0114091378197785,0,0.00448611185730403,0.000398904342738611,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"brown",3469,0.0173025223077345,0.0349609781422947,0,0.145749386629417,0.00608993963247613,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"green",2062,0.010284750936451,0.0185072694368367,0,0.0133508837908988,0.118993165438928,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"invturquoise",497,0.00247891426547825,0.0265470542858884,0,0.0296387829294937,0.0280163816716751,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"invyellow",532,0.00265348569262461,0.0193291141102953,0,0.00351009151310016,0.0244661330213015,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"singlet",191553,0.955419445261882,0.730676666127176,0.288722238246322,0.613263131503071,0.589979522910406,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"turquoise",454,0.0022644407978413,0.109582792968709,0.703490049033747,0.108553161768656,0.174121745605404,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"yellow",2,9.9755101226489e-06,0.000575921842781745,0.00173060282665128,0.00181772596214116,0.000797808685477223,"NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"0",1313,0.0103303671882991,0.0479574909038527,0.00868306801736614,0.0913954805816076,0.0792689166786058,"NaraCOVID_CD4_006_TCR.join.strict.table.txt"
