"class","organ","freq","name"
"AIM","Posi",0.461808305986194,"COVIDAIM_CD4_001_TCR"
"AIMonly","Posi",0.517653049677492,"COVIDAIM_CD4_001_TCR"
"NonNV","Posi",0.0205386443363132,"COVIDAIM_CD4_001_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_001_TCR"
"AIM","Nega",0.0244068200401586,"COVIDAIM_CD4_001_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_001_TCR"
"NonNV","Nega",0.0418115056435837,"COVIDAIM_CD4_001_TCR"
"nonNVonly","Nega",0.933781674316258,"COVIDAIM_CD4_001_TCR"
"AIM","Posi",0.43177653813266,"COVIDAIM_CD4_002_TCR"
"AIMonly","Posi",0.535648845637037,"COVIDAIM_CD4_002_TCR"
"NonNV","Posi",0.0325746162303025,"COVIDAIM_CD4_002_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_002_TCR"
"AIM","Nega",0.0281730292955317,"COVIDAIM_CD4_002_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_002_TCR"
"NonNV","Nega",0.0157230519237554,"COVIDAIM_CD4_002_TCR"
"nonNVonly","Nega",0.956103918780713,"COVIDAIM_CD4_002_TCR"
"AIM","Posi",0.484353741496599,"COVIDAIM_CD4_003_TCR"
"AIMonly","Posi",0.485289115646258,"COVIDAIM_CD4_003_TCR"
"NonNV","Posi",0.0303571428571429,"COVIDAIM_CD4_003_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_003_TCR"
"AIM","Nega",0.028715229746136,"COVIDAIM_CD4_003_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_003_TCR"
"NonNV","Nega",0.0204957968618691,"COVIDAIM_CD4_003_TCR"
"nonNVonly","Nega",0.950788973391995,"COVIDAIM_CD4_003_TCR"
"AIM","Posi",0.361075869068764,"COVIDAIM_CD4_005_TCR"
"AIMonly","Posi",0.595003575465387,"COVIDAIM_CD4_005_TCR"
"NonNV","Posi",0.0439205554658485,"COVIDAIM_CD4_005_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_005_TCR"
"AIM","Nega",0.025663972408732,"COVIDAIM_CD4_005_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_005_TCR"
"NonNV","Nega",0.0423193667474601,"COVIDAIM_CD4_005_TCR"
"nonNVonly","Nega",0.932016660843808,"COVIDAIM_CD4_005_TCR"
"AIM","Posi",0.354446168355085,"COVIDAIM_CD4_008_TCR"
"AIMonly","Posi",0.5909160049892,"COVIDAIM_CD4_008_TCR"
"NonNV","Posi",0.0546378266557148,"COVIDAIM_CD4_008_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_008_TCR"
"AIM","Nega",0.0312986740123318,"COVIDAIM_CD4_008_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_008_TCR"
"NonNV","Nega",0.112144924412578,"COVIDAIM_CD4_008_TCR"
"nonNVonly","Nega",0.85655640157509,"COVIDAIM_CD4_008_TCR"
"AIM","Posi",0.303291000955892,"COVIDAIM_CD4_009_TCR"
"AIMonly","Posi",0.667622559060494,"COVIDAIM_CD4_009_TCR"
"NonNV","Posi",0.0290864399836133,"COVIDAIM_CD4_009_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_009_TCR"
"AIM","Nega",0.0166972358085075,"COVIDAIM_CD4_009_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_009_TCR"
"NonNV","Nega",0.012066319598834,"COVIDAIM_CD4_009_TCR"
"nonNVonly","Nega",0.971236444592659,"COVIDAIM_CD4_009_TCR"
"AIM","Posi",0.203678697379289,"COVIDAIM_CD4_012_TCR"
"AIMonly","Posi",0.667907757253169,"COVIDAIM_CD4_012_TCR"
"NonNV","Posi",0.128413545367542,"COVIDAIM_CD4_012_TCR"
