"","0","1","2","3","4","5"
"_",2266,743,1455,952,786,912
"TRAV1-1_TRAJ11",0,0,0,0,2,0
"TRAV1-1_TRAJ12",1,0,0,0,0,0
"TRAV1-1_TRAJ15",0,1,0,0,1,0
"TRAV1-1_TRAJ16",0,0,0,0,1,0
"TRAV1-1_TRAJ20",1,0,0,0,0,0
"TRAV1-1_TRAJ21",0,0,0,0,1,0
"TRAV1-1_TRAJ22",0,0,0,0,1,0
"TRAV1-1_TRAJ23",0,1,0,0,0,0
"TRAV1-1_TRAJ24",2,0,0,0,0,0
"TRAV1-1_TRAJ30",0,0,0,0,2,0
"TRAV1-1_TRAJ31",1,1,0,0,0,0
"TRAV1-1_TRAJ32",3,2,0,0,0,0
"TRAV1-1_TRAJ34",0,0,0,0,1,0
"TRAV1-1_TRAJ37",1,0,0,0,2,0
"TRAV1-1_TRAJ38",1,0,0,0,0,0
"TRAV1-1_TRAJ42",0,0,0,0,1,0
"TRAV1-1_TRAJ43",0,1,0,0,1,0
"TRAV1-1_TRAJ45",0,0,0,0,1,0
"TRAV1-1_TRAJ5",1,0,1,3,1,1
"TRAV1-1_TRAJ6",1,0,0,0,0,0
"TRAV1-1_TRAJ9",0,0,0,0,1,0
"TRAV1-2_TRAJ10",0,1,0,0,1,0
"TRAV1-2_TRAJ12",51,4,0,3,4,0
"TRAV1-2_TRAJ13",0,6,2,1,0,0
"TRAV1-2_TRAJ15",0,1,0,0,2,1
"TRAV1-2_TRAJ16",0,0,0,0,1,0
"TRAV1-2_TRAJ17",0,2,0,0,0,0
"TRAV1-2_TRAJ18",0,3,1,0,0,0
"TRAV1-2_TRAJ20",49,2,0,1,3,1
"TRAV1-2_TRAJ23",0,2,0,1,0,0
"TRAV1-2_TRAJ24",0,13,1,0,2,0
"TRAV1-2_TRAJ26",0,1,0,0,2,1
"TRAV1-2_TRAJ27",0,3,0,0,0,0
"TRAV1-2_TRAJ28",0,2,0,0,1,0
"TRAV1-2_TRAJ29",0,2,0,0,0,0
"TRAV1-2_TRAJ3",1,1,0,0,0,0
"TRAV1-2_TRAJ30",0,0,1,0,0,0
"TRAV1-2_TRAJ31",1,3,2,0,3,1
"TRAV1-2_TRAJ33",621,4,1,3,3,3
"TRAV1-2_TRAJ35",3,1,0,0,1,0
"TRAV1-2_TRAJ37",0,0,0,0,2,1
"TRAV1-2_TRAJ38",1,0,2,1,0,2
"TRAV1-2_TRAJ4",0,0,0,0,1,0
"TRAV1-2_TRAJ41",17,2,0,0,2,0
"TRAV1-2_TRAJ42",0,0,0,0,0,1
"TRAV1-2_TRAJ43",0,0,0,2,0,0
"TRAV1-2_TRAJ44",1,0,0,0,0,0
"TRAV1-2_TRAJ6",2,8,0,7,2,125
"TRAV1-2_TRAJ8",1,0,0,0,0,0
"TRAV1-2_TRAJ9",0,3,0,0,0,0
"TRAV10_TRAJ10",1,0,0,0,0,0
"TRAV10_TRAJ16",1,0,0,0,0,0
"TRAV10_TRAJ20",0,0,0,0,2,0
"TRAV10_TRAJ23",0,1,0,0,0,0
"TRAV10_TRAJ27",0,0,0,0,1,0
"TRAV10_TRAJ3",0,0,0,0,1,0
"TRAV10_TRAJ33",0,0,0,0,1,0
"TRAV10_TRAJ39",0,2,0,0,3,2
"TRAV10_TRAJ4",0,1,0,2,0,0
"TRAV10_TRAJ40",0,0,0,0,1,0
"TRAV10_TRAJ42",1,0,0,0,2,0
"TRAV10_TRAJ44",0,1,1,1,2,0
"TRAV10_TRAJ49",0,3,0,0,1,3
"TRAV10_TRAJ7",0,1,0,0,0,0
"TRAV10_TRAJ8",0,0,0,0,1,0
"TRAV10_TRAJ9",0,1,0,0,0,0
"TRAV12-1_TRAJ10",0,10,0,0,1,0
"TRAV12-1_TRAJ12",0,0,0,0,1,1
"TRAV12-1_TRAJ13",0,2,0,0,2,0
"TRAV12-1_TRAJ15",1,0,0,0,0,0
"TRAV12-1_TRAJ16",0,1,0,0,0,0
"TRAV12-1_TRAJ17",1,66,1,1,1,1
"TRAV12-1_TRAJ18",0,3,0,0,1,0
"TRAV12-1_TRAJ20",1,1,1,0,0,0
"TRAV12-1_TRAJ21",0,0,0,2,0,2
"TRAV12-1_TRAJ22",1,0,0,0,1,0
"TRAV12-1_TRAJ23",0,0,0,0,1,0
"TRAV12-1_TRAJ26",0,0,0,0,3,0
"TRAV12-1_TRAJ28",0,1,1,0,1,0
"TRAV12-1_TRAJ29",2,0,0,0,0,0
"TRAV12-1_TRAJ3",1,0,0,0,0,0
"TRAV12-1_TRAJ30",1,9,0,0,1,0
"TRAV12-1_TRAJ31",1,2,0,0,3,0
"TRAV12-1_TRAJ32",0,0,0,0,1,0
"TRAV12-1_TRAJ33",0,1,0,0,1,0
"TRAV12-1_TRAJ34",0,0,0,4,0,0
"TRAV12-1_TRAJ35",0,1,0,0,0,0
"TRAV12-1_TRAJ36",0,1,0,0,0,0
"TRAV12-1_TRAJ37",0,16,0,0,0,0
"TRAV12-1_TRAJ39",0,3,0,0,4,0
"TRAV12-1_TRAJ4",1,30,1,1,0,2
"TRAV12-1_TRAJ40",0,0,0,0,1,1
"TRAV12-1_TRAJ41",23,0,0,0,0,0
"TRAV12-1_TRAJ42",5,0,1,0,1,0
"TRAV12-1_TRAJ43",0,1,0,1,8,1
"TRAV12-1_TRAJ44",0,1,0,1,0,0
"TRAV12-1_TRAJ45",0,1,0,0,2,0
"TRAV12-1_TRAJ47",0,8,0,0,0,0
"TRAV12-1_TRAJ49",0,4,2,0,2,1
"TRAV12-1_TRAJ5",0,0,0,0,2,0
"TRAV12-1_TRAJ7",0,3,0,0,0,1
"TRAV12-1_TRAJ8",0,2,0,0,2,0
"TRAV12-1_TRAJ9",1,2,1,0,0,0
"TRAV12-2_TRAJ10",1,1,0,0,1,0
"TRAV12-2_TRAJ11",0,1,0,0,1,0
"TRAV12-2_TRAJ13",0,2,2,0,2,4
"TRAV12-2_TRAJ15",0,2,0,0,2,1
"TRAV12-2_TRAJ16",0,0,0,0,0,1
"TRAV12-2_TRAJ17",0,0,0,0,1,0
"TRAV12-2_TRAJ18",2,41,3,0,2,0
"TRAV12-2_TRAJ20",2,3,0,1,1,1
"TRAV12-2_TRAJ21",0,0,0,0,1,0
"TRAV12-2_TRAJ22",0,0,0,0,4,0
"TRAV12-2_TRAJ23",1,26,2,0,3,0
"TRAV12-2_TRAJ24",0,1,0,0,0,0
"TRAV12-2_TRAJ26",0,0,1,6,5,0
"TRAV12-2_TRAJ27",0,1,0,0,1,0
"TRAV12-2_TRAJ28",1,1,0,2,2,0
"TRAV12-2_TRAJ29",0,0,0,0,0,1
"TRAV12-2_TRAJ3",1,0,1,0,0,0
"TRAV12-2_TRAJ31",0,0,1,6,1,0
"TRAV12-2_TRAJ32",0,1,0,0,0,0
"TRAV12-2_TRAJ33",1,29,2,0,1,0
"TRAV12-2_TRAJ34",0,1,0,1,3,1
"TRAV12-2_TRAJ35",2,0,0,0,0,0
"TRAV12-2_TRAJ37",0,1,1,0,0,1
"TRAV12-2_TRAJ39",0,2,0,0,0,1
"TRAV12-2_TRAJ4",0,2,2,0,0,1
"TRAV12-2_TRAJ40",0,0,0,0,6,8
"TRAV12-2_TRAJ41",0,1,3,1,2,0
"TRAV12-2_TRAJ42",0,1,0,0,1,0
"TRAV12-2_TRAJ43",0,0,0,0,1,0
"TRAV12-2_TRAJ44",0,1,0,0,0,0
"TRAV12-2_TRAJ45",0,1,2,0,2,1
"TRAV12-2_TRAJ46",0,0,0,0,1,0
"TRAV12-2_TRAJ47",0,5,0,0,2,0
"TRAV12-2_TRAJ48",0,6,1,2,2,51
"TRAV12-2_TRAJ49",0,59,0,1,2,0
"TRAV12-2_TRAJ5",0,1,0,0,1,1
"TRAV12-2_TRAJ50",0,0,0,0,2,0
"TRAV12-2_TRAJ52",0,0,0,0,3,0
"TRAV12-2_TRAJ53",0,1,0,0,0,1
"TRAV12-2_TRAJ54",0,0,0,0,1,0
"TRAV12-2_TRAJ58",1,0,0,0,0,0
"TRAV12-2_TRAJ6",0,1,0,0,1,1
"TRAV12-2_TRAJ7",1,9,0,0,0,0
"TRAV12-2_TRAJ8",1,4,0,2,1,1
"TRAV12-2_TRAJ9",1,1,4,1,0,9
"TRAV12-3_TRAJ10",1,1,0,0,0,0
"TRAV12-3_TRAJ12",0,1,0,2,0,0
"TRAV12-3_TRAJ16",0,1,0,0,0,0
"TRAV12-3_TRAJ20",0,0,0,5,1,1
"TRAV12-3_TRAJ21",0,0,0,0,2,0
"TRAV12-3_TRAJ22",0,0,0,0,2,0
"TRAV12-3_TRAJ26",1,1,0,0,1,0
"TRAV12-3_TRAJ27",0,0,0,0,2,1
"TRAV12-3_TRAJ28",0,0,0,0,1,0
"TRAV12-3_TRAJ3",0,0,1,1,2,0
"TRAV12-3_TRAJ31",0,2,0,0,0,0
"TRAV12-3_TRAJ34",0,0,0,0,1,2
"TRAV12-3_TRAJ37",0,0,0,0,1,0
"TRAV12-3_TRAJ39",1,0,0,0,0,0
"TRAV12-3_TRAJ4",0,1,0,0,0,0
"TRAV12-3_TRAJ40",0,4,0,0,0,0
"TRAV12-3_TRAJ41",0,2,0,0,1,0
"TRAV12-3_TRAJ43",0,0,0,0,1,0
"TRAV12-3_TRAJ44",1,0,0,0,0,0
"TRAV12-3_TRAJ45",0,0,0,0,1,1
"TRAV12-3_TRAJ46",0,0,0,0,1,1
"TRAV12-3_TRAJ47",0,2,0,0,0,0
"TRAV12-3_TRAJ49",1,6,0,2,0,13
"TRAV12-3_TRAJ52",0,0,0,1,0,0
"TRAV12-3_TRAJ53",0,0,1,0,0,0
"TRAV12-3_TRAJ54",1,0,1,0,3,0
"TRAV12-3_TRAJ57",0,0,0,0,1,0
"TRAV12-3_TRAJ6",0,0,0,0,0,1
"TRAV12-3_TRAJ9",0,0,0,0,3,0
"TRAV13-1_TRAJ11",0,1,0,0,2,0
"TRAV13-1_TRAJ13",0,1,0,1,1,0
"TRAV13-1_TRAJ15",0,0,0,0,0,1
"TRAV13-1_TRAJ17",0,0,0,0,1,0
"TRAV13-1_TRAJ18",0,0,0,1,1,0
"TRAV13-1_TRAJ20",0,0,0,0,1,0
"TRAV13-1_TRAJ21",0,1,0,0,0,0
"TRAV13-1_TRAJ22",1,1,0,0,0,0
"TRAV13-1_TRAJ23",0,0,0,0,1,0
