p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	5.07835009487129	0.424	0.047	0	1	ZBTB16
0	4.89119146281851	0.205	0.011	0	1	RORC
0	4.28415473740904	0.98	0.336	0	1	KLRB1
0	3.29677150210123	0.336	0.055	0	1	IL18RAP
6.11560236711548e-38	2.88937691679699	0.135	0.067	2.23831046636427e-35	1	CXCR6
6.25787918194841e-289	2.86717825066689	0.335	0.079	2.29038378059312e-286	1	NCR3
4.7570178457453e-215	2.86258303097731	0.269	0.067	1.74106853154278e-212	1	DPP4
0	2.18114158939894	0.848	0.357	0	1	IL7R
1.79637591870688e-184	2.10076709625637	0.373	0.147	6.57473586246717e-182	1	TNFRSF25
1.03223760343044e-66	2.00811131175185	0.232	0.118	3.7779896285554e-64	1	IL18R1
1.58315774536701e-112	1.74139473372955	0.403	0.222	5.79435734804325e-110	1	MYC
1.24272311403305e-141	1.72642816376994	0.345	0.148	4.54836659736095e-139	1	LTB
5.63360766657443e-35	1.57309378574926	0.116	0.053	2.06190040596624e-32	1	BCL2
7.81456340251388e-40	1.22516064990976	0.19	0.103	2.86013020532008e-37	1	IKZF2
2.34097128760013e-71	1.20057233011477	0.443	0.294	8.56795491261648e-69	1	RORA
1.5222548991769e-88	1.19064647743781	0.522	0.358	5.57145293098745e-86	1	XBP1
1.58692674837658e-43	1.1548776360735	0.273	0.168	5.80815189905827e-41	1	IFNGR1
2.48171049676417e-72	1.14007667930619	0.534	0.385	9.08306041815685e-70	1	PRDM1
1.42547238014771e-17	1.1070625599794	0.165	0.111	5.21722891134061e-15	1	LGALS3
2.01634640646974e-64	1.09414177135975	0.446	0.301	7.37982784767924e-62	1	KLRG1
5.93162815634799e-26	1.09282007983431	0.262	0.183	2.17097590522336e-23	1	PIK3AP1
4.83164090041409e-30	1.08077513122165	0.259	0.176	1.76838056955156e-27	1	TNF
1.29584444650038e-298	1.02543813195155	0.808	0.417	4.74279067419139e-296	1	GZMK
9.49266334497549e-23	1.00620987036595	0.148	0.088	3.47431478426103e-20	1	TXK
0	0.959404655867823	0.986	0.965	0	1	DUSP1
7.40361694379927e-103	0.91542645952482	0.799	0.687	2.70972380143053e-100	1	ARL4C
7.11378844573849e-10	0.769644503012038	0.166	0.127	2.60364657114029e-07	1	CD28
3.18848271343137e-190	0.69672212392855	0.976	0.922	1.16698467311588e-187	1	DUSP2
1.69717218797675e-209	0.650286272233196	0.984	0.951	6.21165020799492e-207	1	BTG1
9.90715232667231e-07	0.594144462343371	0.43	0.401	0.000362601775156207	1	CD7
6.64749581351261e-06	0.588399969099586	0.115	0.088	0.00243298346774561	1	EOMES
1.00966661232311e-135	0.578553319091187	0.981	0.943	3.69537980110259e-133	1	CXCR4
5.21524438693597e-61	0.555900064484536	0.737	0.624	1.90877944561856e-58	1	PIK3IP1
1.14165005675345e-07	0.540499098792688	0.562	0.547	4.17843920771762e-05	1	CD247
4.24069172737744e-29	0.532336589028772	0.804	0.763	1.55209317222014e-26	1	CD48
9.36139259970079e-05	0.442587015873649	0.435	0.417	0.0342626969149049	1	CBLB
0.0133553886378684	0.395683136372089	0.227	0.258	1	1	LAG3
7.50408732911503e-07	0.393683401005077	0.638	0.625	0.00027464959624561	1	CD44
1.68938336297142e-43	0.379034299821711	0.596	0.451	6.1831431084754e-41	1	TCF7
6.00258746689984e-09	0.339783062373815	0.534	0.487	2.19694701288534e-06	1	PRF1
4.76865463018768e-05	0.322386216368589	0.655	0.663	0.0174532759464869	1	JUN
0.00881825927091539	0.303010800932533	0.099	0.117	1	1	STAT3
5.14056448825547e-09	0.267045858708395	0.812	0.799	1.8814466027015e-06	1	CD69
5.97194999854767e-234	4.14129589351117	0.165	0.014	2.18573369946845e-231	2	TOP2A
0	3.89587303828533	0.252	0.025	0	2	TYMS
1.92744076946159e-225	3.5462215275921	0.133	0.007	7.05443321622943e-223	2	CD38
2.71470687531118e-193	3.47743199606753	0.102	0.003	9.93582716363893e-191	2	MKI67
3.40485276999682e-284	3.45881148884598	0.205	0.019	1.24617611381884e-281	2	MCM4
0	2.57022571515522	0.734	0.148	0	2	HLA-DRA
0	2.2555712949495	0.386	0.041	0	2	CTLA4
6.69461199390976e-174	2.17879803187553	0.22	0.046	2.45022798977097e-171	2	MCM2
