Cell,term,param
CD8,1.EarlyResp,P2_ExpDiv-P8_Early-P3_Early-P2_ExpFreq-P2_Early
CD8,2.MainResp_P8,P8_ExpFreq-P8_Main-P8_ExpDiv
CD8,3.MainResp_P3,P3_ExpFreq-P3_Main
CD8,4.ThirdResp,P8_Third
CD8,5.ExpDiv_P3,P3_ExpDiv
CD8,6.Evenness_P1,P1_Evenness
CD8,7.Clonality_P1,P1_Clonality
CD4,1.EarlyResp_P2,P2_ExpDiv-P2_Early-P2_ExpFreq
CD4,2.EarlyResp_P3P8,P3_Early-P8_Early
CD4,3.ThirdResp,P8_ExpDiv-P8_ExpFreq-P8_Third
CD4,4.MainResp_P3,P3_ExpFreq-P3_Main-P3_ExpDiv
CD4,5.MainResp_P8,P8_Main
CD4,6.Clonality_P1,P1_Clonality
CD4,7.Evenness_P1,P1_Evenness
