gene	cluster	Source	Name	Gene
CMC1	0	Galleti	EM_like	Human
RGS1	0	Galleti	EM_like	Human
CD74	0	Galleti	EM_like	Human
GZMK	0	Galleti	EM_like	Human
HLA-DRB1	0	Galleti	EM_like	Human
HLA-DPB1	0	Galleti	EM_like	Human
TIGIT	0	Galleti	EM_like	Human
CD8B	0	Galleti	EM_like	Human
CCL5	0	Galleti	EM_like	Human
MALAT1	0	Galleti	EM_like	Human
CST7	0	Galleti	EM_like	Human
HLA-DPA1	0	Galleti	EM_like	Human
HLA-DQA1	0	Galleti	EM_like	Human
PTPRC	0	Galleti	EM_like	Human
CCL4	0	Galleti	EM_like	Human
HLA-DRA	0	Galleti	EM_like	Human
JUN	0	Galleti	EM_like	Human
JUNB	0	Galleti	EM_like	Human
SH2D1A	0	Galleti	EM_like	Human
HLA-DQB1	0	Galleti	EM_like	Human
GZMM	0	Galleti	EM_like	Human
HLA-DMA	0	Galleti	EM_like	Human
SRSF7	0	Galleti	EM_like	Human
ARID5B	0	Galleti	EM_like	Human
HLA-DRB5	0	Galleti	EM_like	Human
IL10RA	0	Galleti	EM_like	Human
CD27	0	Galleti	EM_like	Human
FCRL6	0	Galleti	EM_like	Human
DNAJB1	0	Galleti	EM_like	Human
DUSP2	0	Galleti	EM_like	Human
LYST	0	Galleti	EM_like	Human
LINC00152	0	Galleti	EM_like	Human
PIK3R1	0	Galleti	EM_like	Human
CD84	0	Galleti	EM_like	Human
IFNG	0	Galleti	EM_like	Human
NR4A2	0	Galleti	EM_like	Human
FYN	0	Galleti	EM_like	Human
PATL2	0	Galleti	EM_like	Human
COTL1	0	Galleti	EM_like	Human
TUBA4A	0	Galleti	EM_like	Human
IFRD1	0	Galleti	EM_like	Human
RHOH	0	Galleti	EM_like	Human
ZNF331	0	Galleti	EM_like	Human
ITM2A	0	Galleti	EM_like	Human
TSPYL2	0	Galleti	EM_like	Human
TRBC1	0	Galleti	EM_like	Human
SERINC5	2	Galleti	C2_PEX	Human
CCR7	2	Galleti	C2_PEX	Human
LDHB	2	Galleti	C2_PEX	Human
RP11-291B21.2	2	Galleti	C2_PEX	Human
CD8B	2	Galleti	C2_PEX	Human
NELL2	2	Galleti	C2_PEX	Human
AIF1	2	Galleti	C2_PEX	Human
MAL	2	Galleti	C2_PEX	Human
ITM2C	2	Galleti	C2_PEX	Human
LEF1	2	Galleti	C2_PEX	Human
PASK	2	Galleti	C2_PEX	Human
FYB	2	Galleti	C2_PEX	Human
SELL	2	Galleti	C2_PEX	Human
KLF6	2	Galleti	C2_PEX	Human
TMEM123	2	Galleti	C2_PEX	Human
COTL1	2	Galleti	C2_PEX	Human
PLP2	2	Galleti	C2_PEX	Human
NOSIP	2	Galleti	C2_PEX	Human
FOXP1	2	Galleti	C2_PEX	Human
RCAN3	2	Galleti	C2_PEX	Human
TCF7	2	Galleti	C2_PEX	Human
GPR183	2	Galleti	C2_PEX	Human
KLRC1	2	Galleti	C2_PEX	Human
GZMH	3	Galleti	TE_like	Human
FGFBP2	3	Galleti	TE_like	Human
GZMB	3	Galleti	TE_like	Human
GNLY	3	Galleti	TE_like	Human
FCGR3A	3	Galleti	TE_like	Human
NKG7	3	Galleti	TE_like	Human
CCL4	3	Galleti	TE_like	Human
