name,Cell_count,Individual_ID
COVID_AIM_NonNV_CD4_002_TCR,76594,2
COVID_AIM_NonNV_CD4_008_TCR,85686,8
COVID_AIM_NonNV_CD4_023_TCR,78152,23
COVID_AIM_NonNV_CD4_027_TCR,14674,27
COVID_AIM_NonNV_CD4_031_TCR,52863,31
COVID_AIM_NonNV_CD4_034_TCR,34715,34
COVID_AIM_NonNV_CD4_038_TCR,184128,38
COVID_AIM_AIM_CD4_002_TCR,1874,2
COVID_AIM_AIM_CD4_008_TCR,2480,8
COVID_AIM_AIM_CD4_023_TCR,5047,23
COVID_AIM_AIM_CD4_027_TCR,980,27
COVID_AIM_AIM_CD4_031_TCR,4515,31
COVID_AIM_AIM_CD4_034_TCR,434,34
COVID_AIM_AIM_CD4_038_TCR,9091,38
COVID_AIM_NonNV_CD8_002_TCR,35393,2
COVID_AIM_NonNV_CD8_008_TCR,11995,8
COVID_AIM_NonNV_CD8_023_TCR,14338,23
COVID_AIM_NonNV_CD8_027_TCR,3363,27
COVID_AIM_NonNV_CD8_031_TCR,24695,31
COVID_AIM_NonNV_CD8_034_TCR,18134,34
COVID_AIM_NonNV_CD8_038_TCR,85149,38
COVID_AIM_AIM_CD8_002_TCR,252,2
COVID_AIM_AIM_CD8_008_TCR,596,8
COVID_AIM_AIM_CD8_023_TCR,779,23
COVID_AIM_AIM_CD8_027_TCR,132,27
COVID_AIM_AIM_CD8_031_TCR,939,31
COVID_AIM_AIM_CD8_034_TCR,181,34
COVID_AIM_AIM_CD8_038_TCR,3237,38
COVID_AIM_NonNV_CD4_001_TCR,141220,1
COVID_AIM_NonNV_CD4_003_TCR,156421,3
COVID_AIM_NonNV_CD4_005_TCR,108592,5
COVID_AIM_NonNV_CD4_009_TCR,84110,9
COVID_AIM_NonNV_CD4_012_TCR,39305,12
COVID_AIM_NonNV_CD4_021_TCR,93130,21
COVID_AIM_NonNV_CD4_035_TCR,54791,35
COVID_AIM_NonNV_CD4_040_TCR,30508,40
COVID_AIM_AIM_CD4_001_TCR,1306,1
COVID_AIM_AIM_CD4_003_TCR,1801,3
COVID_AIM_AIM_CD4_005_TCR,3233,5
COVID_AIM_AIM_CD4_009_TCR,1637,9
COVID_AIM_AIM_CD4_012_TCR,5763,12
COVID_AIM_AIM_CD4_021_TCR,12502,21
COVID_AIM_AIM_CD4_035_TCR,2518,35
COVID_AIM_AIM_CD4_040_TCR,493,40
COVID_AIM_NonNV_CD8_001_TCR,79937,1
COVID_AIM_NonNV_CD8_003_TCR,71023,3
COVID_AIM_NonNV_CD8_005_TCR,40123,5
COVID_AIM_NonNV_CD8_009_TCR,18488,9
COVID_AIM_NonNV_CD8_012_TCR,6572,12
COVID_AIM_NonNV_CD8_021_TCR,11480,21
COVID_AIM_NonNV_CD8_035_TCR,31627,35
COVID_AIM_NonNV_CD8_040_TCR,8272,40
COVID_AIM_AIM_CD8_001_TCR,1359,1
COVID_AIM_AIM_CD8_003_TCR,1227,3
COVID_AIM_AIM_CD8_005_TCR,647,5
COVID_AIM_AIM_CD8_009_TCR,465,9
COVID_AIM_AIM_CD8_012_TCR,1614,12
COVID_AIM_AIM_CD8_021_TCR,1247,21
COVID_AIM_AIM_CD8_035_TCR,433,35
COVID_AIM_AIM_CD8_040_TCR,410,40
COVID_AIM_NonNV_CD4_004_TCR,111206,4
COVID_AIM_NonNV_CD4_006_TCR,29133,6
COVID_AIM_NonNV_CD4_007_TCR,69244,7
COVID_AIM_NonNV_CD4_010_TCR,156708,10
COVID_AIM_NonNV_CD4_011_TCR,38505,11
COVID_AIM_NonNV_CD4_013_TCR,35062,13
COVID_AIM_NonNV_CD4_014_TCR,54107,14
COVID_AIM_NonNV_CD4_015_TCR,55081,15
COVID_AIM_AIM_CD4_004_TCR,3203,4
COVID_AIM_AIM_CD4_006_TCR,943,6
COVID_AIM_AIM_CD4_007_TCR,1598,7
COVID_AIM_AIM_CD4_010_TCR,3815,10
COVID_AIM_AIM_CD4_011_TCR,5252,11
COVID_AIM_AIM_CD4_013_TCR,889,13
COVID_AIM_AIM_CD4_014_TCR,644,14
COVID_AIM_AIM_CD4_015_TCR,4445,15
COVID_AIM_NonNV_CD8_004_TCR,130966,4
COVID_AIM_NonNV_CD8_006_TCR,11462,6
COVID_AIM_NonNV_CD8_007_TCR,53113,7
COVID_AIM_NonNV_CD8_010_TCR,59065,10
COVID_AIM_NonNV_CD8_011_TCR,6427,11
COVID_AIM_NonNV_CD8_013_TCR,6309,13
COVID_AIM_NonNV_CD8_014_TCR,13557,14
COVID_AIM_NonNV_CD8_015_TCR,21906,15
COVID_AIM_AIM_CD8_004_TCR,3153,4
COVID_AIM_AIM_CD8_006_TCR,192,6
COVID_AIM_AIM_CD8_007_TCR,473,7
COVID_AIM_AIM_CD8_010_TCR,616,10
COVID_AIM_AIM_CD8_011_TCR,281,11
COVID_AIM_AIM_CD8_013_TCR,143,13
COVID_AIM_AIM_CD8_014_TCR,353,14
COVID_AIM_AIM_CD8_015_TCR,338,15
COVID_AIM_NonNV_CD4_016_TCR,48694,16
COVID_AIM_NonNV_CD4_017_TCR,112520,17
COVID_AIM_NonNV_CD4_018_TCR,109565,18
COVID_AIM_NonNV_CD4_019_TCR,75363,19
COVID_AIM_NonNV_CD4_020_TCR,14210,20
COVID_AIM_AIM_CD4_016_TCR,3660,16
COVID_AIM_AIM_CD4_017_TCR,4092,17
COVID_AIM_AIM_CD4_018_TCR,14150,18
COVID_AIM_AIM_CD4_019_TCR,1654,19
COVID_AIM_AIM_CD4_020_TCR,684,20
COVID_AIM_NonNV_CD8_016_TCR,21265,16
COVID_AIM_NonNV_CD8_017_TCR,35227,17
COVID_AIM_NonNV_CD8_018_TCR,15867,18
COVID_AIM_NonNV_CD8_019_TCR,75664,19
COVID_AIM_NonNV_CD8_020_TCR,13704,20
COVID_AIM_AIM_CD8_016_TCR,953,16
COVID_AIM_AIM_CD8_017_TCR,902,17
COVID_AIM_AIM_CD8_018_TCR,556,18
COVID_AIM_AIM_CD8_019_TCR,2092,19
COVID_AIM_AIM_CD8_020_TCR,353,20
COVID_AIM_NonNV_CD4_022_TCR,91926,22
COVID_AIM_NonNV_CD4_024_TCR,113026,24
COVID_AIM_NonNV_CD4_025_TCR,62531,25
COVID_AIM_NonNV_CD4_026_TCR,45466,26
COVID_AIM_NonNV_CD4_028_TCR,84204,28
COVID_AIM_NonNV_CD4_029_TCR,65624,29
COVID_AIM_NonNV_CD4_030_TCR,39772,30
COVID_AIM_NonNV_CD4_032_TCR,64674,32
COVID_AIM_AIM_CD4_022_TCR,2442,22
COVID_AIM_AIM_CD4_024_TCR,7912,24
COVID_AIM_AIM_CD4_025_TCR,10428,25
COVID_AIM_AIM_CD4_026_TCR,1196,26
COVID_AIM_AIM_CD4_028_TCR,6812,28
COVID_AIM_AIM_CD4_029_TCR,5193,29
COVID_AIM_AIM_CD4_030_TCR,2104,30
COVID_AIM_AIM_CD4_032_TCR,2917,32
COVID_AIM_NonNV_CD8_022_TCR,94209,22
COVID_AIM_NonNV_CD8_024_TCR,13951,24
COVID_AIM_NonNV_CD8_025_TCR,24780,25
COVID_AIM_NonNV_CD8_026_TCR,68407,26
COVID_AIM_NonNV_CD8_028_TCR,26768,28
COVID_AIM_NonNV_CD8_029_TCR,6251,29
COVID_AIM_NonNV_CD8_030_TCR,13810,30
COVID_AIM_NonNV_CD8_032_TCR,43827,32
COVID_AIM_AIM_CD8_022_TCR,1113,22
COVID_AIM_AIM_CD8_024_TCR,743,24
COVID_AIM_AIM_CD8_025_TCR,2089,25
COVID_AIM_AIM_CD8_026_TCR,799,26
COVID_AIM_AIM_CD8_028_TCR,674,28
COVID_AIM_AIM_CD8_029_TCR,195,29
COVID_AIM_AIM_CD8_030_TCR,729,30
COVID_AIM_AIM_CD8_032_TCR,775,32
COVID_AIM_NonNV_CD4_033_TCR,110975,33
COVID_AIM_NonNV_CD4_036_TCR,214393,36
COVID_AIM_NonNV_CD4_037_TCR,43828,37
COVID_AIM_NonNV_CD4_039_TCR,40045,39
COVID_AIM_NonNV_CD4_041_TCR,60189,41
COVID_AIM_AIM_CD4_033_TCR,4257,33
COVID_AIM_AIM_CD4_036_TCR,8676,36
COVID_AIM_AIM_CD4_037_TCR,4323,37
COVID_AIM_AIM_CD4_039_TCR,523,39
COVID_AIM_AIM_CD4_041_TCR,2032,41
COVID_AIM_NonNV_CD8_033_TCR,34758,33
COVID_AIM_NonNV_CD8_036_TCR,54303,36
COVID_AIM_NonNV_CD8_037_TCR,21796,37
COVID_AIM_NonNV_CD8_039_TCR,9213,39
COVID_AIM_NonNV_CD8_041_TCR,11180,41
COVID_AIM_AIM_CD8_033_TCR,511,33
COVID_AIM_AIM_CD8_036_TCR,1321,36
COVID_AIM_AIM_CD8_037_TCR,264,37
COVID_AIM_AIM_CD8_039_TCR,214,39
COVID_AIM_AIM_CD8_041_TCR,206,41
